record_index,source_group,session_id,source_file,id,time,time_iso,asset,symbol,type,action,tradeAction,direction,amount,price,leverage,pnl,balance,confidence,status,error,reason
40,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 20:41:03,2026-03-10 20:41:03,ADA,ADAUSDT,BUY,,OPEN,long,285,0.2646,10,0,59.0084,,recorded,,24h涨幅前十全仓做多 | 止损 0.22440000 | 24h第5名 涨幅 +3.85% | RSI 29 | 1m -0.11% | 3m -0.11% | 5m -0.08% | 15m趋势 -0.30% | 波动 0.38% | 量能 3.58x | 回调 ✓
41,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 20:42:04,2026-03-10 20:42:04,XRP,XRPUSDT,BUY,,OPEN,long,43.3,1.3917,10,0,58.9783,,recorded,,24h涨幅前十全仓做多 | 止损 0.71040000 | 24h第4名 涨幅 +3.28% | RSI 40 | 1m +0.07% | 3m +0.00% | 5m +0.02% | 15m趋势 -0.09% | 波动 0.20% | 量能 1.30x | 回调 ✗
42,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 21:01:02,2026-03-10 21:01:02,SOL,SOLUSDT,SELL,,CLOSE,long,1.08,86.77,10,0.0648,58.9639,,recorded,,趋势走弱 15m -0.03%
43,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 21:02:04,2026-03-10 21:02:04,ADA,ADAUSDT,BUY,,OPEN,long,251,0.2642,10,0,58.9307,,recorded,,24h涨幅前十全仓做多 | 止损 0.23460000 | 24h第5名 涨幅 +3.65% | RSI 50 | 1m -0.11% | 3m +0.00% | 5m +0.08% | 15m趋势 -0.04% | 波动 0.26% | 量能 1.24x | 回调 ✗
44,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 21:04:04,2026-03-10 21:04:04,SOL,SOLUSDT,BUY,,OPEN,long,0.6,86.63,10,0,58.9047,,recorded,,24h涨幅前十全仓做多 | 止损 37.58000000 | 24h第3名 涨幅 +3.62% | RSI 34 | 1m -0.14% | 3m -0.16% | 5m -0.09% | 15m趋势 -0.15% | 波动 0.20% | 量能 3.60x | 回调 ✗
45,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 22:13:03,2026-03-10 22:13:03,XRP,XRPUSDT,SELL,,CLOSE,long,43.3,1.3947,10,0.1299,59.0001,,recorded,,持仓过久 90 分钟
46,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 22:22:03,2026-03-10 22:22:03,SOL,SOLUSDT,SELL,,CLOSE,long,0.6,86.93,10,0.144,59.112,,recorded,,趋势走弱 15m -0.08%
47,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 22:22:03,2026-03-10 22:22:03,ADA,ADAUSDT,SELL,,CLOSE,long,983,0.2657,10,0.994,59.8771,,recorded,,趋势走弱 15m -0.41%
48,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 22:30:03,2026-03-10 22:30:03,ADA,ADAUSDT,BUY,,OPEN,long,450,0.2661,10,0,59.8172,,recorded,,24h涨幅前十全仓做多 | 止损 0.19970000 | 24h第5名 涨幅 +3.42% | RSI 48 | 1m -0.08% | 3m -0.08% | 5m +0.11% | 15m趋势 +0.30% | 波动 0.41% | 量能 1.37x | 回调 ✗
49,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 22:34:02,2026-03-10 22:34:02,ADA,ADAUSDT,SELL,,CLOSE,long,450,0.2646,10,-0.9,58.8578,,recorded,,软止损 0.60%
50,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 22:42:03,2026-03-10 22:42:03,XRP,XRPUSDT,BUY,,OPEN,long,84.9,1.3855,10,0,58.7989,,recorded,,24h涨幅前十全仓做多 | 止损 1.03930000 | 24h第4名 涨幅 +1.73% | RSI 26 | 1m -0.09% | 3m +0.11% | 5m +0.33% | 15m趋势 -0.91% | 波动 1.07% | 量能 0.70x | 回调 ✓
51,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 22:51:02,2026-03-10 22:51:02,ADA,ADAUSDT,BUY,,OPEN,long,360,0.2645,10,0,58.7514,,recorded,,24h涨幅前十全仓做多 | 止损 0.18250000 | 24h第5名 涨幅 +2.48% | RSI 59 | 1m +0.15% | 3m +0.53% | 5m +0.19% | 15m趋势 +1.11% | 波动 1.17% | 量能 0.54x | 回调 ✗
52,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 22:58:03,2026-03-10 22:58:03,ADA,ADAUSDT,SELL,,CLOSE,long,360,0.2635,10,-0.3049,58.38,,recorded,,短线转弱 3m -0.45%
53,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 23:01:02,2026-03-10 23:01:02,XRP,XRPUSDT,SELL,,CLOSE,long,84.9,1.3912,10,0.45,58.6691,,recorded,,趋势走弱 15m -0.26%
54,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 23:09:02,2026-03-10 23:09:02,ETH,ETHUSDT,BUY,,OPEN,long,0.058,2019.91,10,0,58.6105,,recorded,,24h涨幅前十全仓做多 | 止损 1512.48000000 | 24h第2名 涨幅 +0.34% | RSI 28 | 1m -0.10% | 3m -0.56% | 5m -0.63% | 15m趋势 -0.94% | 波动 0.89% | 量能 3.36x | 回调 ✓
55,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 23:17:03,2026-03-10 23:17:03,SOL,SOLUSDT,BUY,,OPEN,long,1.09,85.09,10,0,58.5642,,recorded,,24h涨幅前十全仓做多 | 止损 58.19000000 | 24h第3名 涨幅 +0.37% | RSI 20 | 1m +0.08% | 3m -0.22% | 5m -0.07% | 15m趋势 -1.07% | 波动 0.75% | 量能 2.65x | 回调 ✓
56,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 23:25:05,2026-03-10 23:25:05,XRP,XRPUSDT,BUY,,OPEN,long,54.7,1.3937,10,0,58.526,,recorded,,24h涨幅前十全仓做多 | 止损 0.85890000 | 24h第4名 涨幅 +1.95% | RSI 73 | 1m -0.03% | 3m +0.13% | 5m +0.43% | 15m趋势 +0.58% | 波动 0.75% | 量能 0.75x | 回调 ✗
57,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 23:55:03,2026-03-10 23:55:03,SOL,SOLUSDT,SELL,,CLOSE,long,1.09,87.64,10,2.834,61.3449,,recorded,,止盈 3.00%
58,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 23:58:02,2026-03-10 23:58:02,XRP,XRPUSDT,SELL,,CLOSE,long,54.7,1.4365,10,2.3083,63.6249,,recorded,,止盈 3.00%
59,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 00:01:02,2026-03-11 00:01:02,ETH,ETHUSDT,SELL,,CLOSE,long,0.058,2080.53,10,3.5765,66.9733,,recorded,,止盈 3.00%
60,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 00:09:02,2026-03-11 00:09:02,ADA,ADAUSDT,BUY,,OPEN,long,494,0.271,10,0,66.9064,,recorded,,24h涨幅前十全仓做多 | 止损 0.20290000 | 24h第5名 涨幅 +5.16% | RSI 56 | 1m +0.33% | 3m +0.07% | 5m -0.55% | 15m趋势 +0.41% | 波动 1.11% | 量能 0.58x | 回调 ✓
61,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 00:16:03,2026-03-11 00:16:03,ADA,ADAUSDT,SELL,,CLOSE,long,494,0.2689,10,-0.8933,65.8027,,recorded,,短线转弱 3m -0.66%
62,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 00:24:06,2026-03-11 00:24:06,XRP,XRPUSDT,BUY,,OPEN,long,92.4,1.4227,10,0,65.737,,recorded,,24h涨幅前十全仓做多 | 止损 1.06690000 | 24h第4名 涨幅 +4.36% | RSI 29 | 1m +0.04% | 3m -0.16% | 5m +0.11% | 15m趋势 -0.83% | 波动 0.47% | 量能 1.03x | 回调 ✓
63,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 00:33:03,2026-03-11 00:33:03,ADA,ADAUSDT,BUY,,OPEN,long,392,0.2714,10,0,65.6837,,recorded,,24h涨幅前十全仓做多 | 止损 0.18770000 | 24h第5名 涨幅 +6.06% | RSI 66 | 1m +0.00% | 3m +0.30% | 5m +0.33% | 15m趋势 +0.63% | 波动 0.59% | 量能 1.25x | 回调 ✗
64,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 00:35:03,2026-03-11 00:35:03,XRP,XRPUSDT,SELL,,CLOSE,long,92.4,1.4244,10,0.2218,65.8489,,recorded,,动态止盈 峰值 0.80% 回撤到 0.10%
65,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 00:43:04,2026-03-11 00:43:04,ETH,ETHUSDT,BUY,,OPEN,long,0.052,2069.38,10,0,65.7951,,recorded,,24h涨幅前十全仓做多 | 止损 1436.55000000 | 24h第2名 涨幅 +2.39% | RSI 49 | 1m +0.23% | 3m +0.17% | 5m +0.18% | 15m趋势 +0.07% | 波动 0.51% | 量能 1.35x | 回调 ✗
66,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 00:52:03,2026-03-11 00:52:03,ADA,ADAUSDT,BUY,,OPEN,long,324,0.2698,10,0,65.7514,,recorded,,24h涨幅前十全仓做多 | 止损 0.22470000 | 24h第5名 涨幅 +5.64% | RSI 43 | 1m +0.00% | 3m +0.04% | 5m -0.04% | 15m趋势 +0.00% | 波动 0.52% | 量能 0.74x | 回调 ✗
67,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:00:04,2026-03-11 01:00:04,XRP,XRPUSDT,BUY,,OPEN,long,50.7,1.4303,10,0,65.7291,,recorded,,24h涨幅前十全仓做多 | 止损 0.78200000 | 24h第4名 涨幅 +5.14% | RSI 56 | 1m +0.10% | 3m +0.25% | 5m +0.45% | 15m趋势 +0.13% | 波动 0.64% | 量能 0.74x | 回调 ✗
68,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:05:04,2026-03-11 01:05:04,ADA,ADAUSDT,SELL,,CLOSE,long,716,0.2701,10,-0.3868,65.1377,,recorded,,短线转弱 3m -0.52%
69,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:06:03,2026-03-11 01:06:03,ETH,ETHUSDT,SELL,,CLOSE,long,0.052,2069.33,10,-0.014,65.0459,,recorded,,短线转弱 3m -0.37%
70,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:15:04,2026-03-11 01:15:04,SOL,SOLUSDT,BUY,,OPEN,long,1.31,87.78,10,0,64.9884,,recorded,,24h涨幅前十全仓做多 | 止损 62.98000000 | 24h第3名 涨幅 +3.42% | RSI 26 | 1m -0.02% | 3m -0.20% | 5m -0.13% | 15m趋势 -0.60% | 波动 0.47% | 量能 0.96x | 回调 ✓
71,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:24:03,2026-03-11 01:24:03,ETH,ETHUSDT,BUY,,OPEN,long,0.045,2079.69,10,0,64.9416,,recorded,,24h涨幅前十全仓做多 | 止损 1359.32000000 | 24h第2名 涨幅 +3.00% | RSI 69 | 1m -0.07% | 3m -0.03% | 5m -0.02% | 15m趋势 +0.45% | 波动 0.70% | 量能 0.64x | 回调 ✗
72,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:30:03,2026-03-11 01:30:03,XRP,XRPUSDT,SELL,,CLOSE,long,50.7,1.4313,10,0.0101,64.9053,,recorded,,趋势走弱 15m -0.13%
73,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:34:02,2026-03-11 01:34:02,SOL,SOLUSDT,SELL,,CLOSE,long,1.31,88.27,10,0.6157,65.4632,,recorded,,趋势走弱 15m -0.06%
74,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:42:03,2026-03-11 01:42:03,XRP,XRPUSDT,BUY,,OPEN,long,78.4,1.4262,10,0,65.4073,,recorded,,24h涨幅前十全仓做多 | 止损 1.00840000 | 24h第4名 涨幅 +4.52% | RSI 21 | 1m +0.07% | 3m -0.08% | 5m -0.12% | 15m趋势 -0.39% | 波动 0.41% | 量能 0.52x | 回调 ✓
75,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:46:02,2026-03-11 01:46:02,XRP,XRPUSDT,SELL,,CLOSE,long,78.4,1.4275,10,0.1176,65.4611,,recorded,,趋势走弱 15m -0.06%
76,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:54:03,2026-03-11 01:54:03,XRP,XRPUSDT,BUY,,OPEN,long,78.5,1.4293,10,0,65.405,,recorded,,24h涨幅前十全仓做多 | 止损 1.01220000 | 24h第4名 涨幅 +4.39% | RSI 55 | 1m +0.08% | 3m +0.36% | 5m +0.41% | 15m趋势 +0.11% | 波动 0.49% | 量能 0.99x | 回调 ✗
77,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 01:56:02,2026-03-11 01:56:02,ETH,ETHUSDT,SELL,,CLOSE,long,0.045,2081.71,10,0.0193,65.3775,,recorded,,趋势走弱 15m -0.10%
78,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:04:02,2026-03-11 02:04:02,ADA,ADAUSDT,BUY,,OPEN,long,397,0.2714,10,0,65.3236,,recorded,,24h涨幅前十全仓做多 | 止损 0.18910000 | 24h第5名 涨幅 +5.81% | RSI 43 | 1m -0.22% | 3m -0.22% | 5m -0.26% | 15m趋势 -0.15% | 波动 0.48% | 量能 1.69x | 回调 ✗
79,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:08:02,2026-03-11 02:08:02,ADA,ADAUSDT,SELL,,CLOSE,long,397,0.2716,10,0.0397,65.3491,,recorded,,趋势走弱 15m -0.22%
80,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:16:03,2026-03-11 02:16:03,ETH,ETHUSDT,BUY,,OPEN,long,0.051,2078.37,10,0,65.2961,,recorded,,24h涨幅前十全仓做多 | 止损 1438.18000000 | 24h第2名 涨幅 +2.46% | RSI 45 | 1m +0.12% | 3m +0.12% | 5m +0.12% | 15m趋势 +0.03% | 波动 0.28% | 量能 2.18x | 回调 ✗
81,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:25:03,2026-03-11 02:25:03,ETH,ETHUSDT,BUY,,OPEN,long,0.041,2078.97,10,0,65.2535,,recorded,,24h涨幅前十全仓做多 | 止损 1723.90000000 | 24h第2名 涨幅 +2.89% | RSI 48 | 1m +0.09% | 3m +0.09% | 5m +0.07% | 15m趋势 +0.02% | 波动 0.35% | 量能 3.51x | 回调 ✗
82,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:27:03,2026-03-11 02:27:03,XRP,XRPUSDT,SELL,,CLOSE,long,78.5,1.4184,10,-0.7929,64.3735,,recorded,,短线转弱 3m -0.44%
83,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-11 02:35:04,2026-03-11 02:35:04,XRP,XRPUSDT,BUY,,OPEN,long,63,1.4189,10,0,64.3289,,recorded,,24h涨幅前十全仓做多 | 止损 0.90670000 | 24h第4名 涨幅 +3.94% | RSI 29 | 1m -0.11% | 3m -0.14% | 5m +0.00% | 15m趋势 -0.46% | 波动 0.35% | 量能 0.57x | 回调 ✓
